Rank,Title,Year,Rated,Released,Runtime,Director,Plot,Poster,Metascore,imdbID,imdbRating,imdbVotes,Type
7,The New Mutants,2020,PG-13,2020-08-28,94 ,Josh Boone,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",https://m.media-amazon.com/images/M/MV5BZDQ2NTdmNDgtMGIwMS00ODE2LTk5M2EtZGZhYzc4MWRlNTU3XkEyXkFqcGdeQXVyNTc4MjczMTM@._V1_SX300.jpg,43,tt4682266,5.5,13285,movie
8,Freaky,2020,R,2020-11-13,102 ,Christopher Landon,"After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.",https://m.media-amazon.com/images/M/MV5BMTRkYmJlY2ItNmFlZi00OWVhLTg1ZTctOGE0MjM5ZGMwMmY4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,66,tt10919380,6.9,2129,movie
11,Holidate,2020,TV-MA,2020-10-28,103 ,John Whitesell,"Fed up with being single on holidays, two strangers agree to be each other's platonic plus-ones all year long, only to catch real feelings along the way.",https://m.media-amazon.com/images/M/MV5BYWVmYTFjODItOTY2Ni00NDhhLTk1ZDYtMzBmOGFhZTMyY2Q0XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,44,tt9866072,6.1,12141,movie
13,Tenet,2020,PG-13,2020-09-03,150 ,Christopher Nolan,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",https://m.media-amazon.com/images/M/MV5BYzg0NGM2NjAtNmIxOC00MDJmLTg5ZmYtYzM0MTE4NWE2NzlhXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_SX300.jpg,69,tt6723592,7.8,142673,movie
14,The Trial of the Chicago 7,2020,R,2020-10-16,129 ,Aaron Sorkin,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",https://m.media-amazon.com/images/M/MV5BYjYzOGE1MjUtODgyMy00ZDAxLTljYTgtNzk0Njg2YWQwMTZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,76,tt1070874,7.9,50886,movie
15,Fatman,2020,R,2020-11-17,100 ,"Eshom Nelms, Ian Nelms",Santa Claus must contend with a hitman sent from a disappointed child.,https://m.media-amazon.com/images/M/MV5BZjk1NDc4OTEtY2M3OS00M2E3LTk4YTgtYjczMzI1OWQ1ODVlXkEyXkFqcGdeQXVyNzA0OTM3NQ@@._V1_SX300.jpg,37,tt10310140,7.5,82,movie
16,Borat Subsequent Moviefilm,2020,R,2020-10-23,95 ,Jason Woliner,Follow-up film to the 2006 comedy centering on the real-life adventures of a fictional Kazakh television journalist named Borat.,https://m.media-amazon.com/images/M/MV5BZmY2ZmM5YTktZThiOC00YjEzLTg4YTctMDAxYWEyZmEyZDlhXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_SX300.jpg,68,tt13143964,6.8,75370,movie
18,Dreamland,2006,R,2007-08-01,88 ,Jason Matzner,A young woman who lives in a desert trailer park must choose between caring for her hapless father and sick friend or fulfilling her own destiny.,https://m.media-amazon.com/images/M/MV5BMTcxNTQyNDA1N15BMl5BanBnXkFtZTcwMzg2NTkzMQ@@._V1_SX300.jpg,57,tt0417614,6.4,2358,movie
19,Home Alone,1990,PG,1990-11-16,103 ,Chris Columbus,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,https://m.media-amazon.com/images/M/MV5BMzFkM2YwOTQtYzk2Mi00N2VlLWE3NTItN2YwNDg1YmY0ZDNmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,63,tt0099785,7.6,457199,movie
20,Pieces of a Woman,2020,R,2021-01-07,126 ,Kornél Mundruczó,A grieving woman embarks on an emotional journey after the loss of her baby.,https://m.media-amazon.com/images/M/MV5BYzFlNTIxNDAtNTE0NS00OWJlLWI4OGItMTJjZjRlZDYwODQzXkEyXkFqcGdeQXVyODQ3NTUyMDk@._V1_SX300.jpg,69,tt11161474,5.8,326,movie
