Rank,Title,Year,Rated,Released,Runtime,Director,Plot,Poster,Metascore,imdbID,imdbRating,imdbVotes,Type
1,The Shawshank Redemption,1994,R,14 Oct 1994,142 min,Frank Darabont,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,80,tt0111161,9.3,"2,296,430",movie
2,The Godfather,1972,R,24 Mar 1972,175 min,Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,100,tt0068646,9.2,"1,589,401",movie
3,The Godfather: Part II,1974,R,18 Dec 1974,202 min,Francis Ford Coppola,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,90,tt0071562,9.0,"1,110,514",movie
4,The Dark Knight,2008,PG-13,18 Jul 2008,152 min,Christopher Nolan,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,84,tt0468569,9.0,"2,268,809",movie
5,12 Angry Men,1957,Approved,10 Apr 1957,96 min,Sidney Lumet,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,96,tt0050083,8.9,"674,457",movie
6,Schindler's List,1993,R,04 Feb 1994,195 min,Steven Spielberg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,94,tt0108052,8.9,"1,195,574",movie
7,The Lord of the Rings: The Return of the King,2003,PG-13,17 Dec 2003,201 min,Peter Jackson,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,94,tt0167260,8.9,"1,618,253",movie
8,Pulp Fiction,1994,R,14 Oct 1994,154 min,Quentin Tarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,94,tt0110912,8.9,"1,798,120",movie
9,"The Good, the Bad and the Ugly",1966,R,29 Dec 1967,178 min,Sergio Leone,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_SX300.jpg,90,tt0060196,8.8,"678,759",movie
10,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,19 Dec 2001,178 min,Peter Jackson,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,92,tt0120737,8.8,"1,634,509",movie
