id,imdbID,Title,Genre
0,tt4682266,The New Mutants,Action
1,tt4682266,The New Mutants,Horror
2,tt4682266,The New Mutants,Sci-Fi
3,tt10919380,Freaky,Comedy
4,tt10919380,Freaky,Horror
5,tt10919380,Freaky,Thriller
6,tt9866072,Holidate,Comedy
7,tt9866072,Holidate,Romance
8,tt6723592,Tenet,Action
9,tt6723592,Tenet,Sci-Fi
10,tt1070874,The Trial of the Chicago 7,Drama
11,tt1070874,The Trial of the Chicago 7,History
12,tt1070874,The Trial of the Chicago 7,Thriller
13,tt10310140,Fatman,Action
14,tt10310140,Fatman,Comedy
15,tt10310140,Fatman,Fantasy
16,tt10310140,Fatman,Thriller
17,tt13143964,Borat Subsequent Moviefilm,Adventure
18,tt13143964,Borat Subsequent Moviefilm,Comedy
19,tt0417614,Dreamland,Drama
20,tt0099785,Home Alone,Comedy
21,tt0099785,Home Alone,Family
22,tt11161474,Pieces of a Woman,Drama
23,tt0032976,Rebecca,Drama
24,tt0032976,Rebecca,Mystery
25,tt0032976,Rebecca,Romance
26,tt0032976,Rebecca,Thriller
27,tt7395114,The Devil All the Time,Crime
28,tt7395114,The Devil All the Time,Drama
29,tt7395114,The Devil All the Time,Thriller
30,tt2584384,Jojo Rabbit,Comedy
31,tt2584384,Jojo Rabbit,Drama
32,tt2584384,Jojo Rabbit,War
33,tt3605418,Knock Knock,Drama
34,tt3605418,Knock Knock,Thriller
35,tt0116191,Emma,Comedy
36,tt0116191,Emma,Drama
37,tt0116191,Emma,Romance
38,tt10627584,The Life Ahead,Drama
39,tt0100944,The Witches,Adventure
40,tt0100944,The Witches,Comedy
41,tt0100944,The Witches,Family
42,tt0100944,The Witches,Fantasy
43,tt0100944,The Witches,Horror
44,tt0100944,The Witches,Mystery
45,tt7846844,Enola Holmes,Action
46,tt7846844,Enola Holmes,Adventure
47,tt7846844,Enola Holmes,Crime
48,tt7846844,Enola Holmes,Drama
49,tt7846844,Enola Holmes,Mystery
50,tt10362466,After We Collided,Drama
51,tt10362466,After We Collided,Romance
52,tt2106476,The Hunt,Drama
53,tt4633694,Spider-Man: Into the Spider-Verse,Animation
54,tt4633694,Spider-Man: Into the Spider-Verse,Action
55,tt4633694,Spider-Man: Into the Spider-Verse,Adventure
56,tt4633694,Spider-Man: Into the Spider-Verse,Family
57,tt4633694,Spider-Man: Into the Spider-Verse,Sci-Fi
58,tt8367814,The Gentlemen,Action
59,tt8367814,The Gentlemen,Comedy
60,tt8367814,The Gentlemen,Crime
61,tt1649419,The Impossible,Drama
62,tt1649419,The Impossible,History
63,tt1649419,The Impossible,Thriller
64,tt0120762,Mulan,Animation
65,tt0120762,Mulan,Adventure
66,tt0120762,Mulan,Family
67,tt0120762,Mulan,Fantasy
68,tt0120762,Mulan,Musical
69,tt0120762,Mulan,War
70,tt2873282,Red Sparrow,Action
71,tt2873282,Red Sparrow,Drama
72,tt2873282,Red Sparrow,Thriller
73,tt10059518,Unhinged,Action
74,tt10059518,Unhinged,Thriller
75,tt6673612,Dolittle,Adventure
76,tt6673612,Dolittle,Comedy
77,tt6673612,Dolittle,Family
78,tt6673612,Dolittle,Fantasy
79,tt8946378,Knives Out,Comedy
80,tt8946378,Knives Out,Crime
81,tt8946378,Knives Out,Drama
82,tt8946378,Knives Out,Mystery
83,tt8946378,Knives Out,Thriller
84,tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,Action
85,tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,Adventure
86,tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,Comedy
87,tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,Family
88,tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,Fantasy
89,tt0424774,The Adventures of Sharkboy and Lavagirl 3-D,Sci-Fi
90,tt6751668,Parasite,Comedy
91,tt6751668,Parasite,Drama
92,tt6751668,Parasite,Thriller
93,tt7286456,Joker,Crime
94,tt7286456,Joker,Drama
95,tt7286456,Joker,Thriller
96,tt0068646,The Godfather,Crime
97,tt0068646,The Godfather,Drama
98,tt2222042,Love and Monsters,Action
99,tt2222042,Love and Monsters,Adventure
100,tt2222042,Love and Monsters,Comedy
101,tt0314331,Love Actually,Comedy
102,tt0314331,Love Actually,Drama
103,tt0314331,Love Actually,Romance
104,tt4154796,Avengers: Endgame,Action
105,tt4154796,Avengers: Endgame,Adventure
106,tt4154796,Avengers: Endgame,Drama
107,tt4154796,Avengers: Endgame,Sci-Fi
108,tt6473066,Clouds,Drama
109,tt6473066,Clouds,Music
110,tt8508734,His House,Drama
111,tt8508734,His House,Horror
112,tt8508734,His House,Thriller
113,tt2978576,Bill,Comedy
114,tt2978576,Bill,Family
115,tt2978576,Bill,History
116,tt0111161,The Shawshank Redemption,Drama
117,tt0993846,The Wolf of Wall Street,Biography
118,tt0993846,The Wolf of Wall Street,Crime
119,tt0993846,The Wolf of Wall Street,Drama
120,tt0087182,Dune,Action
121,tt0087182,Dune,Adventure
122,tt0087182,Dune,Sci-Fi
123,tt10612922,One Night in Miami,Drama
124,tt3833480,The Outpost,Action
125,tt3833480,The Outpost,Drama
126,tt3833480,The Outpost,History
127,tt3833480,The Outpost,War
128,tt7488208,Over the Moon,Animation
129,tt7488208,Over the Moon,Adventure
130,tt7488208,Over the Moon,Comedy
131,tt7488208,Over the Moon,Family
132,tt7488208,Over the Moon,Fantasy
133,tt7488208,Over the Moon,Musical
134,tt7488208,Over the Moon,Sci-Fi
135,tt8579674,1917,Drama
136,tt8579674,1917,War
137,tt5918982,Possessor Uncut,Horror
138,tt5918982,Possessor Uncut,Sci-Fi
139,tt5918982,Possessor Uncut,Thriller
140,tt1051906,The Invisible Man,Drama
141,tt1051906,The Invisible Man,Horror
142,tt1051906,The Invisible Man,Mystery
143,tt1051906,The Invisible Man,Sci-Fi
144,tt1051906,The Invisible Man,Thriller
145,tt0106677,Dazed and Confused,Comedy
146,tt8772262,Midsommar,Drama
147,tt8772262,Midsommar,Horror
148,tt8772262,Midsommar,Mystery
149,tt8772262,Midsommar,Thriller
150,tt0816692,Interstellar,Adventure
151,tt0816692,Interstellar,Drama
152,tt0816692,Interstellar,Sci-Fi
153,tt0816692,Interstellar,Thriller
154,tt5606664,Doctor Sleep,Drama
155,tt5606664,Doctor Sleep,Fantasy
156,tt5606664,Doctor Sleep,Horror
157,tt5606664,Doctor Sleep,Thriller
158,tt8004664,Come Play,Drama
159,tt8004664,Come Play,Horror
160,tt8004664,Come Play,Mystery
161,tt8004664,Come Play,Thriller
162,tt8503618,Hamilton,Biography
163,tt8503618,Hamilton,Drama
164,tt8503618,Hamilton,History
165,tt8503618,Hamilton,Musical
166,tt7939766,I'm Thinking of Ending Things,Drama
167,tt7939766,I'm Thinking of Ending Things,Thriller
168,tt0073486,One Flew Over the Cuckoo's Nest,Drama
169,tt8695030,The Dead Don't Die,Comedy
170,tt8695030,The Dead Don't Die,Fantasy
171,tt8695030,The Dead Don't Die,Horror
172,tt8695030,The Dead Don't Die,Sci-Fi
173,tt1431045,Deadpool,Action
174,tt1431045,Deadpool,Adventure
175,tt1431045,Deadpool,Comedy
176,tt1431045,Deadpool,Sci-Fi
177,tt0468569,The Dark Knight,Action
178,tt0468569,The Dark Knight,Crime
179,tt0468569,The Dark Knight,Drama
180,tt0468569,The Dark Knight,Thriller
181,tt0120737,The Lord of the Rings: The Fellowship of the Ring,Action
182,tt0120737,The Lord of the Rings: The Fellowship of the Ring,Adventure
183,tt0120737,The Lord of the Rings: The Fellowship of the Ring,Drama
184,tt0120737,The Lord of the Rings: The Fellowship of the Ring,Fantasy
185,tt0361748,Inglourious Basterds,Adventure
186,tt0361748,Inglourious Basterds,Drama
187,tt0361748,Inglourious Basterds,War
188,tt3501632,Thor: Ragnarok,Action
189,tt3501632,Thor: Ragnarok,Adventure
190,tt3501632,Thor: Ragnarok,Comedy
191,tt3501632,Thor: Ragnarok,Fantasy
192,tt3501632,Thor: Ragnarok,Sci-Fi
193,tt4685762,The Craft: Legacy,Drama
194,tt4685762,The Craft: Legacy,Fantasy
195,tt4685762,The Craft: Legacy,Horror
196,tt0120338,Titanic,Drama
197,tt0120338,Titanic,Romance
