Rating Rank,Title,Rating
1,The Shawshank Redemption,9.2
2,The Godfather,9.1
3,The Godfather: Part II,9.0
4,The Dark Knight,9.0
5,12 Angry Men,8.9
6,Schindler's List,8.9
7,The Lord of the Rings: The Return of the King,8.9
8,Pulp Fiction,8.8
9,"The Good, the Bad and the Ugly",8.8
10,The Lord of the Rings: The Fellowship of the Ring,8.8
11,Fight Club,8.8
12,Forrest Gump,8.8
13,Inception,8.7
14,The Lord of the Rings: The Two Towers,8.7
15,Star Wars: Episode V - The Empire Strikes Back,8.7
16,The Matrix,8.6
17,Goodfellas,8.6
18,One Flew Over the Cuckoo's Nest,8.6
19,Seven Samurai,8.6
20,Se7en,8.6
21,Life Is Beautiful,8.6
22,City of God,8.6
23,The Silence of the Lambs,8.6
24,It's a Wonderful Life,8.6
25,Star Wars: Episode IV - A New Hope,8.6
26,Saving Private Ryan,8.5
27,Spirited Away,8.5
28,The Green Mile,8.5
29,Interstellar,8.5
30,Parasite,8.5
31,Léon: The Professional,8.5
32,The Usual Suspects,8.5
33,Harakiri,8.5
34,The Lion King,8.5
35,Back to the Future,8.5
36,The Pianist,8.5
37,Terminator 2: Judgment Day,8.5
38,American History X,8.5
39,Modern Times,8.5
40,Psycho,8.5
41,Gladiator,8.5
42,City Lights,8.5
43,The Departed,8.5
44,The Intouchables,8.5
45,Whiplash,8.5
46,The Prestige,8.5
47,Grave of the Fireflies,8.5
48,Hamilton,8.5
49,Once Upon a Time in the West,8.4
50,Casablanca,8.4
51,Cinema Paradiso,8.4
52,Rear Window,8.4
53,Alien,8.4
54,Apocalypse Now,8.4
55,Memento,8.4
56,The Great Dictator,8.4
57,Raiders of the Lost Ark,8.4
58,Django Unchained,8.4
59,The Lives of Others,8.4
60,Joker,8.4
61,Paths of Glory,8.4
62,WALL·E,8.4
63,The Shining,8.4
64,Avengers: Infinity War,8.4
65,Sunset Blvd.,8.4
66,Witness for the Prosecution,8.4
67,Spider-Man: Into the Spider-Verse,8.4
68,Oldboy,8.4
69,Princess Mononoke,8.4
70,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
71,The Dark Knight Rises,8.3
72,Once Upon a Time in America,8.3
73,Aliens,8.3
74,Your Name.,8.3
75,Avengers: Endgame,8.3
76,Coco,8.3
77,American Beauty,8.3
78,Braveheart,8.3
79,Das Boot,8.3
80,3 Idiots,8.3
81,Toy Story,8.3
82,High and Low,8.3
83,Capernaum,8.3
84,Amadeus,8.3
85,Inglourious Basterds,8.3
86,Star Wars: Episode VI - Return of the Jedi,8.3
87,Like Stars on Earth,8.3
88,Good Will Hunting,8.3
89,Reservoir Dogs,8.3
90,2001: A Space Odyssey,8.3
91,Requiem for a Dream,8.3
92,Vertigo,8.3
93,M,8.3
94,Eternal Sunshine of the Spotless Mind,8.3
95,Dangal,8.3
96,The Hunt,8.3
97,Citizen Kane,8.3
98,1917,8.2
99,Full Metal Jacket,8.2
100,Bicycle Thieves,8.2
101,The Kid,8.2
102,Singin' in the Rain,8.2
103,A Clockwork Orange,8.2
104,North by Northwest,8.2
105,Snatch,8.2
106,Scarface,8.2
107,Taxi Driver,8.2
108,Ikiru,8.2
109,Amélie,8.2
110,Lawrence of Arabia,8.2
111,Toy Story 3,8.2
112,The Sting,8.2
113,Metropolis,8.2
114,A Separation,8.2
115,Incendies,8.2
116,Come and See,8.2
117,For a Few Dollars More,8.2
118,The Apartment,8.2
119,Double Indemnity,8.2
120,To Kill a Mockingbird,8.2
121,Up,8.2
122,Indiana Jones and the Last Crusade,8.2
123,Heat,8.2
124,L.A. Confidential,8.2
125,Die Hard,8.2
126,Monty Python and the Holy Grail,8.2
127,Rashomon,8.2
128,Yojimbo,8.2
129,Batman Begins,8.2
130,Green Book,8.2
131,Downfall,8.2
132,Children of Heaven,8.2
133,Unforgiven,8.2
134,Ran,8.2
135,Some Like It Hot,8.2
136,Howl's Moving Castle,8.2
137,All About Eve,8.2
138,A Beautiful Mind,8.2
139,Casino,8.2
140,The Great Escape,8.2
141,The Wolf of Wall Street,8.2
142,Pan's Labyrinth,8.2
143,The Secret in Their Eyes,8.1
144,"Lock, Stock and Two Smoking Barrels",8.1
145,There Will Be Blood,8.1
146,Raging Bull,8.1
147,My Neighbor Totoro,8.1
148,Anand,8.1
149,Judgment at Nuremberg,8.1
150,The Treasure of the Sierra Madre,8.1
151,Dial M for Murder,8.1
152,"Three Billboards Outside Ebbing, Missouri",8.1
153,Chinatown,8.1
154,The Gold Rush,8.1
155,Shutter Island,8.1
156,My Father and My Son,8.1
157,No Country for Old Men,8.1
158,V for Vendetta,8.1
159,The Seventh Seal,8.1
160,Inside Out,8.1
161,Warrior,8.1
162,The Elephant Man,8.1
163,The Thing,8.1
164,The Sixth Sense,8.1
165,Trainspotting,8.1
166,Jurassic Park,8.1
167,Gone with the Wind,8.1
168,The Truman Show,8.1
169,Finding Nemo,8.1
170,Wild Strawberries,8.1
171,Blade Runner,8.1
172,Stalker,8.1
173,Kill Bill: Vol. 1,8.1
174,The Bridge on the River Kwai,8.1
175,Room,8.1
176,Memories of Murder,8.1
177,Fargo,8.1
178,Tokyo Story,8.1
179,Gran Torino,8.1
180,The Third Man,8.1
181,On the Waterfront,8.1
182,Wild Tales,8.1
183,The Deer Hunter,8.1
184,Klaus,8.1
185,In the Name of the Father,8.1
186,Mary and Max,8.1
187,Vikram Vedha,8.1
188,Gone Girl,8.1
189,The Grand Budapest Hotel,8.1
190,Hacksaw Ridge,8.1
191,Before Sunrise,8.1
192,Andhadhun,8.1
193,Catch Me If You Can,8.1
194,Persona,8.1
195,The Big Lebowski,8.1
196,To Be or Not to Be,8.1
197,Prisoners,8.1
198,Sherlock Jr.,8.1
199,The Bandit,8.1
200,The General,8.1
201,How to Train Your Dragon,8.1
202,Ford v Ferrari,8.1
203,12 Years a Slave,8.1
204,Mr. Smith Goes to Washington,8.1
205,Barry Lyndon,8.1
206,Mad Max: Fury Road,8.1
207,Million Dollar Baby,8.1
208,Network,8.1
209,Stand by Me,8.1
210,Dead Poets Society,8.1
211,Cool Hand Luke,8.1
212,Ben-Hur,8.1
213,Hachi: A Dog's Tale,8.1
214,Harry Potter and the Deathly Hallows: Part 2,8.1
215,Platoon,8.1
216,Into the Wild,8.1
217,Logan,8.0
218,The Wages of Fear,8.0
219,Monty Python's Life of Brian,8.0
220,Rush,8.0
221,The Handmaiden,8.0
222,The 400 Blows,8.0
223,The Passion of Joan of Arc,8.0
224,Andrei Rublev,8.0
225,Spotlight,8.0
226,Hotel Rwanda,8.0
227,La Haine,8.0
228,Amores Perros,8.0
229,Rififi,8.0
230,Rocky,8.0
231,Nausicaä of the Valley of the Wind,8.0
232,Gangs of Wasseypur,8.0
233,"Monsters, Inc.",8.0
234,Rebecca,8.0
235,Rang De Basanti,8.0
236,Before Sunset,8.0
237,In the Mood for Love,8.0
238,Portrait of a Lady on Fire,8.0
239,"Paris, Texas",8.0
240,It Happened One Night,8.0
241,Drishyam,8.0
242,The Invisible Guest,8.0
243,The Princess Bride,8.0
244,The Help,8.0
245,The Circus,8.0
246,The Battle of Algiers,8.0
247,The Terminator,8.0
248,Tangerines,8.0
249,Aladdin,8.0
250,Neon Genesis Evangelion: The End of Evangelion,8.0
